Artikel,Label
"Kementerian BUMN sedang mengkaji pengurangan jumlah perusahaan pelat merah menjadi 100. Saat ini perusahaan pelat merah berjumlah 142. Wakil Menteri Badan Usaha Milik Negara (BUMN) II Kartika Wirjoatmodjo mengatakan, pihaknya akan berkonsultasi dengan Komisi VI DPR RI terlebih dahulu. Pria yang akrab disapa Tiko itu mengatakan, tanggal 20 Februari mendatang pihaknya akan menyambangi Komisi VI DPR RI untuk berdiskusi terkait pengurangan jumlah BUMN.",ekonomi
"(Angkanya) belum pasti. Kita akan coba lihat, itu kan analogi saja, analogi saja, kita coba turunkan lah jumlahnya. Tapi macam-macam (caranya). Mungkin ada yang bisa ditaruh di PPA (PT Perusahaan Pengelola Aset). Kan PPA juga efektif sebagai agen untuk restrukturisasi. Misalnya nanti kita harus gabungkan dan sebagainya, jelas Tiko dalam acara Mandiri Investment Forum di Hotel Fairmont, Jakarta, Rabu (5/2/2020).",ekonomi
"Komisaris Utama Pertamina Basuki Tjahaja Purnama (BTP) alias Ahok lagi-lagi buat gebrakan baru yang menggegerkan publik. Melalui akun resmi Twitternya @basuki_btp mengumumkan gebrakan transparansi Pertamina. Dengan begitu, mulai sekarang masyarakat bisa ikut memantau langsung data impor bahan bakar minyak (BBM) PT Pertamina (Persero). Masyarakat bisa memantau data itu melalui laman resmi perseroan di www.pertamina.com.",ekonomi
"Pak Ahok ini orang yang matang di dalam birokrasi publik, sehingga beliau ini tau liku-likunya, jadi ketika mengambil keputusan itu lebih didasarkan pada pendekatan rational comprehensive, dia mengambil kebijakan untuk hal-hal yang masuk akal, tapi juga ada comprehensive artinya publiknya juga diperhatikan, kalau bahasa kebijakan politik itu namanya populis, paparnya.",ekonomi
"Kejaksaan Agung (Kejagung) menduga kerugian negara akibat kasus keuangan yang menimpa PT Asuransi Jiwasraya (Persero) bertambah jadi Rp 17 triliun. Awalnya, pemerintah mencatat kerugian negara akibat Jiwasraya Rp 13,7 triliun. Wakil Menteri Badan Usaha Milik Negara (BUMN) II Kartika Wirjoatmodjo membenarkan bahwa kerugian negara akibat Jiwasraya memang bertambah. ""Memang bertambah, karena kan memang sudah diidentifikasi pertumbuhan nilai sahamnya memang segitu,""",ekonomi
"Wakil Presiden (Wapres) KH Ma'ruf Amin meminta seluruh pihak mendukung program pencegahan stunting yang tengah dilakukan pemerintah. Begitu juga dengan pengusaha di sektor properti. Menurut Ma'ruf, sektor properti punya andil dalam mencegah stunting, yakni dalam penyediaan air bersih dan sanitasi. ""Kesediaan air bersih dan sistem sanitasi yang baik berpengaruh pada risiko stunting yang harus ditekan angkanya untuk perbaikan generasi mendatang,""",ekonomi
"Sementara itu, Direktur Utama (Dirut) BTN Pahala N. Mansyuri menuturkan, dalam mengajukan kredit pembangunan perumahan baik subsidi atau non subdisi pihaknya memiliki standar ketat yang harus dipenuhi pemohon. ""Rumah non subsidi saja sudah ada standarnya apa lagi rumah yang bersubsidi. Standar yang kita terapkan untuk memastikan bahwa pencarian kredit, pemilihan kredit dan sebagainya itu memenuhi standar-standar yang tadi khususnya bagi mereka yang memperoleh kredit konstruksi dari Bank BTN,"" ujar Pahala.",ekonomi
"Menteri BUMN Erick Thohir mengapresiasi langkah PT Pertamina (Persero) yang kini makin transparan. Transparansi perusahaan ini dilakukan saat Basuki Tjahaja Purnama alias Ahok menjadi Komisaris Utama Pertamina. ""Ya saya rasa kan bagian dari profesionalisme dan transparan apa yang dilakukan Pertamina, komisaris direksi,"" kata Erick di Pelabuhan Benoa, Bali, Jumat (14/2/2020). Erick mengatakan, langkah transparansi Pertamina itu merupakan hal yang positif. Sebab, kata Erick, publik bisa ikut ikut memantau dan mengawasi Pertamina. Ia pun mengharapkan BUMN lain mengikuti langkah Pertamina.",ekonomi
"erusahaan asuransi jiwa, WanaArtha Life mengalami keterlambatan pembayaran klaim yang jatuh tempo. Hal ini terjadi karena adanya pembekuan rekening efek oleh Kejaksaan Agung terkait pemeriksaan kasus Jiwasraya. Beredar surat pengumuman kepada pemegang polis dari PT Asuransi Jiwa Adisarana Wanaartha (WanaArtha Life) terkait keterlambatan dan pemenuhan kewajiban klaim asuransi yang telah jatuh tempo. Dalam surat disebutkan pada 21 Januari 2020 terjadi perintah pemblokiran atas rekening efek milik perusahaan dari pihak yang berwenang. Oleh karena itu, perusahaan berupaya untuk melakukan klarifikasi dan verifikasi kepada pihak terkait seperti Kustodian Sentral Efek Indonesia (KSEI) dan Otoritas Jasa Keuangan (OJK).",ekonomi
"Transportasi publik bisa menjadi salah satu pilihan yang digunakan warga Jakarta untuk bepergian. Namun saat ini masih banyak warga Jabodetabek ogah naik angkutan umum dan lebih memilih untuk naik kendaraan pribadi. Hal itu membuat kemacetan di jalan menjadi tidak terhindarkan. Dari kemacetan itu tanpa disadari membuat kualitas udara semakin memburuk. Oleh karena itu, penggunaan transportasi umum oleh warga masih jadi pekerjaan rumah (PR) bagi pemerintah. Saat ini penggunaan transportasi umum di Jabodetabek baru 32%.",ekonomi
